,summonerId
231,TlpbcBMTQ51qQCALn2ZQw6xMk2hY7ROmCJgATR2r3LMBAgw
232,U-W6f_Yu4t-TUNTyd09qdvd3UUbdDw92OteKnxSvDEAkTwI
233,U4ys-nmX_DrgIJNnnuBYKOPejsiR4ntdv2YPCkB7XVKNtiU
234,UFw0rsKPEjcGVF47JX4iDm18ozBc0Nq6GtEP_E7AkANGevg
235,UGx1Dk4-lsmKtO3k3Tl7_uaXSltxm47h1QoBTtf9bAXO1zM
236,UIydcuIcO6V0oYZ0rdBjL8Qe-2lJwFuQHqPrB5rNvjWRdbE
237,URw_ExG4S36t2d_WPZVd_H8AJpTN2-gMHW9H3BuKbKrsFck
238,UVysByd3K1n1kY9QjK6tC2X2ef-HHyNkk8ygvwI7PPumse0
239,U_Xrv1uq6LG6XIfvokyASmiUICefpgGcATsw9QQZWakughk
240,UbbQBWm4n4ZrdyxZBDVTIRScMbD7cPfIuDuxzn-J1YJUBNY
241,UvLEjH8OaPYJC99Dkj-iZoskGWc9TK_CPi2mGM_6976klJs
242,Uvbuk7X2JvpkRTBcSj5OB9nFWSgBlzvXBTATRFZfQXd2ZNE
243,UxvUL34NUuKwrsf1Q4Yx8dY5vKZMzu8fLZw8-5s0dGt_zAw
244,UzaHSAc4kduds3ar-VT3AduKy2v8Y7g4kxU9X4N23nbHvaA
245,V-Ne2kxj96GGOylE87hp6zqIoBu1AD8c6cgMo7fY_xhZnmI
246,VBrcnjfLx39HBqemIkSoeTgiN7q80l4jFiT8XS5kCG-mSkQ
247,VRE2R11BMJvEN1PTeypJfLdaAxSgeKXRqreIwSPNmkyaiHw
248,VfgboINGCiB96OANpS6-Qt-HuZEDbLKcwuOcGWo7k_ZPchE
249,VwNd1M21vd0pJLkNTp1zRHICOzUyBq-vLoOaYcRiz0Rh8JM
250,VyQOb1F19ePDnAP9Lc81ET8WZEFHS-b0-eSrMmjON0zZi_k
251,VzQwcrebIC48OhgCD6JdqujOITqNSH1A5zpAYcv1R3fdqUA
252,W-VcduSaxUBUrGDth8kS7wviQGL3ExlwSIR6kPLyfqQb-qA
253,WACtzsm6q9wdiLpwkhci8ecBO1PaRok1deuvSEUNuXsGnuk
254,WBeVVSsZa8rfOmW8lXJGNKGGTuBh40Ntjbf4dO7ynFzCkzg
255,WH_kBfdYz4hk8CIA9LBCkwjcB0Hz7KjbsE_joXvkmE4dN7g
256,WNe1l-MbaotQGbdD7Yc8POADyyo7hPuU4fKx13sg1I8bcpo
257,WQtrr2SSjL_9BpMqeg-kFGFcEGgfMwNO22SeBw02-1pI5zo
258,WaEqYkUPLdAbUV0AN71LnI_k5AejOW11qVsXanRA8bJ4M-8
259,XCv2Oix5FYQIrZeu6tXWGScw8m6qp5PSSxSwVwZVxOHmEZU
260,XSsdWY7g1PJT4aY7prH6AxYd6CrwOXHGglbalcBl7SFhkok
261,Xa5q0BVBbIFp1Ll77W2VmQd2-StGxDf5u8pNDCMmzZVjKCs
262,Xad0nXTYtodHEK-LbTluAG5kxbJNSTq1H-drBkktc0O2DE0
